ifInOctets,ifOutOctets,ifOutDiscards,ifInUcastPkts,ifInNUcastPkts,ifInDiscards,ifOutUcastPkts,ifOutNUcastPkts,tcpOutRsts,tcpInSegs,tcpOutSegs,tcpPassiveOpens,tcpRetransSegs,tcpCurrEstab,tcpEstabResets,tcpActiveOpens,udpInDatagrams,udpOutDatagrams,udpInErrors,udpNoPorts,ipSystemStatsInReceives,ipSystemStatsInDelivers,ipSystemStatsOutRequests,ipSystemStatsOutDiscards,ipSystemStatsInDiscards,ipSystemStatsInForwDatagrams,ipSystemStatsOutNoRoutes,ipSystemStatsInAddrErrors,icmpInMsgs,icmpInDestUnreachs,icmpOutMsgs,icmpOutDestUnreachs,icmpInEchos,icmpOutEchoReps
61193478,61193478,0,631701,0,0,631701,0,204117,602215,581380,208,828,23,1067,205337,952055,6564258,7617,30,1142509,1141941,7018028,6,0,0,16,3,0,0,3,3,0,0
61211642,61211642,0,631814,0,0,631814,0,204118,602238,581404,208,828,23,1067,205337,952195,6566638,7617,30,1142509,1141941,7018028,6,0,0,16,3,0,0,3,3,0,0
61232894,61232894,0,631940,0,0,631940,0,204120,602362,581528,212,828,23,1067,205341,952492,6569143,7617,30,1142509,1141941,7018028,6,0,0,16,3,0,0,3,3,0,0
61254998,61254998,0,632075,0,0,632075,0,204121,602403,581570,213,828,23,1067,205342,952630,6571729,7617,30,1142509,1141941,7018028,6,0,0,16,3,0,0,3,3,0,0
61285662,61285662,0,632262,0,0,632262,0,204121,602505,581672,216,828,23,1067,205345,952767,6573570,7617,30,1142509,1141941,7018028,6,0,0,16,3,0,0,3,3,0,0
61302922,61302922,0,632365,0,0,632365,0,204121,602561,581728,217,828,23,1067,205346,952905,6575984,7617,30,1142509,1141941,7018028,6,0,0,16,3,0,0,3,3,0,0
61317338,61317338,0,632462,0,0,632462,0,204123,602594,581762,217,828,15,1069,205346,953168,6578788,7617,30,1142509,1141941,7018028,6,0,0,16,3,0,0,3,3,0,0
61329742,61329742,0,632534,0,0,632534,0,204124,602607,581774,217,828,15,1070,205346,953329,6581721,7617,30,1142509,1141941,7018028,6,0,0,16,3,0,0,3,3,0,0
61341874,61341874,0,632602,0,0,632602,0,204124,602622,581792,217,828,14,1070,205346,953528,6584054,7617,30,1142509,1141941,7018028,6,0,0,16,3,0,0,3,3,0,0
61354006,61354006,0,632670,0,0,632670,0,204124,602631,581803,217,828,14,1070,205346,953692,6587197,7617,30,1142509,1141941,7018028,6,0,0,16,3,0,0,3,3,0,0
