ifInOctets,ifOutOctets,ifOutDiscards,ifInUcastPkts,ifInNUcastPkts,ifInDiscards,ifOutUcastPkts,ifOutNUcastPkts,tcpOutRsts,tcpInSegs,tcpOutSegs,tcpPassiveOpens,tcpRetransSegs,tcpCurrEstab,tcpEstabResets,tcpActiveOpens,udpInDatagrams,udpOutDatagrams,udpInErrors,udpNoPorts,ipSystemStatsInReceives,ipSystemStatsInDelivers,ipSystemStatsOutRequests,ipSystemStatsOutDiscards,ipSystemStatsInDiscards,ipSystemStatsInForwDatagrams,ipSystemStatsOutNoRoutes,ipSystemStatsInAddrErrors,icmpInMsgs,icmpInDestUnreachs,icmpOutMsgs,icmpOutDestUnreachs,icmpInEchos,icmpOutEchoReps
10294779,10294779,0,297190,0,0,297190,0,490,15086,14638,0,137,0,368,596,42533,19102,187,14,16403,16342,18478,4,0,0,8,3,1420,1274,1493,1274,73,73
10306911,10306911,0,297258,0,0,297258,0,490,15086,14638,0,137,0,368,596,42601,19200,187,14,16403,16342,18478,4,0,0,8,3,1420,1274,1493,1274,73,73
10321038,10321038,0,297341,0,0,297341,0,490,15086,14638,0,137,0,368,596,42669,19283,187,14,16403,16342,18478,4,0,0,8,3,1420,1274,1493,1274,73,73
10333170,10333170,0,297409,0,0,297409,0,490,15086,14638,0,137,0,368,596,42737,19366,187,14,16403,16342,18478,4,0,0,8,3,1420,1274,1493,1274,73,73
10345302,10345302,0,297477,0,0,297477,0,490,15086,14638,0,137,0,368,596,42805,19450,187,14,16403,16342,18478,4,0,0,8,3,1420,1274,1493,1274,73,73
10357434,10357434,0,297545,0,0,297545,0,490,15086,14638,0,137,0,368,596,42873,19533,187,14,16403,16342,18478,4,0,0,8,3,1420,1274,1493,1274,73,73
10371586,10371586,0,297628,0,0,297628,0,490,15086,14638,0,137,0,368,596,42941,19631,187,14,16403,16342,18478,4,0,0,8,3,1420,1274,1493,1274,73,73
10383718,10383718,0,297696,0,0,297696,0,490,15086,14638,0,137,0,368,596,43009,19714,187,14,17219,17158,19444,4,0,0,8,3,1420,1274,1493,1274,73,73
10395850,10395850,0,297764,0,0,297764,0,490,15086,14638,0,137,0,368,596,43077,19797,187,14,17219,17158,19444,4,0,0,8,3,1420,1274,1493,1274,73,73
10407982,10407982,0,297832,0,0,297832,0,490,15086,14638,0,137,0,368,596,43145,19880,187,14,17219,17158,19444,4,0,0,8,3,1420,1274,1493,1274,73,73
10420114,10420114,0,297900,0,0,297900,0,490,15086,14638,0,137,0,368,596,43213,19963,187,14,17219,17158,19444,4,0,0,8,3,1420,1274,1493,1274,73,73
10434233,10434233,0,297983,0,0,297983,0,490,15086,14638,0,137,0,368,596,43281,20061,187,14,17219,17158,19444,4,0,0,8,3,1420,1274,1493,1274,73,73
10449189,10449189,0,298081,0,0,298081,0,490,15086,14638,0,137,0,368,596,43349,20159,187,14,17219,17158,19444,4,0,0,8,3,1450,1304,1523,1304,73,73
10463333,10463333,0,298164,0,0,298164,0,490,15086,14638,0,137,0,368,596,43417,20242,187,14,17219,17158,19444,4,0,0,8,3,1450,1304,1523,1304,73,73
10478289,10478289,0,298262,0,0,298262,0,490,15086,14638,0,137,0,368,596,43485,20340,187,14,17219,17158,19444,4,0,0,8,3,1480,1334,1553,1334,73,73
10494130,10494130,0,298362,0,0,298362,0,490,15086,14638,0,137,0,368,596,43553,20442,187,14,17219,17158,19444,4,0,0,8,3,1497,1351,1570,1351,73,73
10506262,10506262,0,298430,0,0,298430,0,490,15086,14638,0,137,0,368,596,43621,20529,187,14,17219,17158,19444,4,0,0,8,3,1497,1351,1570,1351,73,73
10520771,10520771,0,298515,0,0,298515,0,490,15086,14638,0,137,0,368,596,43689,20620,187,14,17219,17158,19444,4,0,0,8,3,1497,1351,1570,1351,73,73
10532903,10532903,0,298583,0,0,298583,0,490,15086,14638,0,137,0,368,596,43757,20728,187,14,17219,17158,19444,4,0,0,8,3,1497,1351,1570,1351,73,73
10545035,10545035,0,298651,0,0,298651,0,490,15086,14638,0,137,0,368,596,43825,20815,187,14,18113,18052,20520,4,0,0,8,3,1497,1351,1570,1351,73,73
10557167,10557167,0,298719,0,0,298719,0,490,15086,14638,0,137,0,368,596,43893,20904,187,14,18113,18052,20520,4,0,0,8,3,1497,1351,1570,1351,73,73
10569563,10569563,0,298789,0,0,298789,0,490,15086,14638,0,137,0,368,596,43961,20995,187,14,18113,18052,20520,4,0,0,8,3,1497,1351,1570,1351,73,73
10584371,10584371,0,298876,0,0,298876,0,490,15086,14638,0,137,0,368,596,44029,21086,187,14,18113,18052,20520,4,0,0,8,3,1497,1351,1570,1351,73,73
10596777,10596777,0,298946,0,0,298946,0,490,15086,14638,0,137,0,368,596,44097,21194,187,14,18113,18052,20520,4,0,0,8,3,1497,1351,1570,1351,73,73
10611595,10611595,0,299033,0,0,299033,0,490,15086,14638,0,137,0,368,596,44165,21283,187,14,18113,18052,20520,4,0,0,8,3,1497,1351,1570,1351,73,73
10623727,10623727,0,299101,0,0,299101,0,490,15086,14638,0,137,0,368,596,44233,21385,187,14,18113,18052,20520,4,0,0,8,3,1514,1368,1587,1368,73,73
10637534,10637534,0,299186,0,0,299186,0,490,15086,14638,0,137,0,368,596,44301,21453,187,14,18113,18052,20520,4,0,0,8,3,1514,1368,1587,1368,73,73
10651147,10651147,0,299269,0,0,299269,0,490,15086,14638,0,137,0,368,596,44369,21552,187,14,18113,18052,20520,4,0,0,8,3,1529,1383,1602,1383,73,73
10664760,10664760,0,299352,0,0,299352,0,490,15086,14638,0,137,0,368,596,44437,21650,187,14,18113,18052,20520,4,0,0,8,3,1544,1398,1617,1398,73,73
10680479,10680479,0,299450,0,0,299450,0,490,15086,14638,0,137,0,368,596,44505,21733,187,14,18113,18052,20520,4,0,0,8,3,1559,1413,1632,1413,73,73
10696223,10696223,0,299548,0,0,299548,0,490,15086,14638,0,137,0,368,596,44573,21831,187,14,18113,18052,20520,4,0,0,8,3,1574,1428,1647,1428,73,73
10709861,10709861,0,299631,0,0,299631,0,490,15086,14638,0,137,0,368,596,44641,21929,187,14,19021,18960,21638,4,0,0,8,3,1589,1443,1662,1443,73,73
10724099,10724099,0,299714,0,0,299714,0,490,15086,14638,0,137,0,368,596,44709,22012,187,14,19021,18960,21638,4,0,0,8,3,1589,1443,1662,1443,73,73
10736231,10736231,0,299782,0,0,299782,0,490,15086,14638,0,137,0,368,596,44777,22095,187,14,19021,18960,21638,4,0,0,8,3,1589,1443,1662,1443,73,73
10748363,10748363,0,299850,0,0,299850,0,490,15086,14638,0,137,0,368,596,44845,22193,187,14,19021,18960,21638,4,0,0,8,3,1589,1443,1662,1443,73,73
10762576,10762576,0,299933,0,0,299933,0,490,15086,14638,0,137,0,368,596,44913,22276,187,14,19021,18960,21638,4,0,0,8,3,1589,1443,1662,1443,73,73
10774708,10774708,0,300001,0,0,300001,0,490,15086,14638,0,137,0,368,596,44981,22359,187,14,19021,18960,21638,4,0,0,8,3,1589,1443,1662,1443,73,73
10786840,10786840,0,300069,0,0,300069,0,490,15086,14638,0,137,0,368,596,45049,22442,187,14,19021,18960,21638,4,0,0,8,3,1589,1443,1662,1443,73,73
10798972,10798972,0,300137,0,0,300137,0,490,15086,14638,0,137,0,368,596,45117,22525,187,14,19021,18960,21638,4,0,0,8,3,1589,1443,1662,1443,73,73
10813210,10813210,0,300220,0,0,300220,0,490,15086,14638,0,137,0,368,596,45185,22623,187,14,19021,18960,21638,4,0,0,8,3,1589,1443,1662,1443,73,73
10825342,10825342,0,300288,0,0,300288,0,490,15086,14638,0,137,0,368,596,45253,22706,187,14,19021,18960,21638,4,0,0,8,3,1589,1443,1662,1443,73,73
10838980,10838980,0,300371,0,0,300371,0,490,15086,14638,0,137,0,368,596,45321,22789,187,14,19021,18960,21638,4,0,0,8,3,1604,1458,1677,1458,73,73
10854699,10854699,0,300469,0,0,300469,0,490,15086,14638,0,137,0,368,596,45389,22887,187,14,19021,18960,21638,4,0,0,8,3,1619,1473,1692,1473,73,73
10868312,10868312,0,300552,0,0,300552,0,490,15086,14638,0,137,0,368,596,45457,22985,187,14,19883,19822,22649,4,0,0,8,3,1634,1488,1707,1488,73,73
10884006,10884006,0,300650,0,0,300650,0,490,15086,14638,0,137,0,368,596,45525,23068,187,14,19883,19822,22649,4,0,0,8,3,1649,1503,1722,1503,73,73
10897619,10897619,0,300733,0,0,300733,0,490,15086,14638,0,137,0,368,596,45593,23151,187,14,19883,19822,22649,4,0,0,8,3,1664,1518,1737,1518,73,73
10909751,10909751,0,300801,0,0,300801,0,490,15086,14638,0,137,0,368,596,45661,23249,187,14,19883,19822,22649,4,0,0,8,3,1679,1533,1752,1533,73,73
10924895,10924895,0,300899,0,0,300899,0,490,15086,14638,0,137,0,368,596,45729,23332,187,14,19883,19822,22649,4,0,0,8,3,1694,1548,1767,1548,73,73
10937027,10937027,0,300967,0,0,300967,0,490,15086,14638,0,137,0,368,596,45797,23415,187,14,19883,19822,22649,4,0,0,8,3,1694,1548,1767,1548,73,73
10950665,10950665,0,301050,0,0,301050,0,490,15086,14638,0,137,0,368,596,45865,23514,187,14,19883,19822,22649,4,0,0,8,3,1724,1578,1797,1578,73,73
10964303,10964303,0,301133,0,0,301133,0,490,15086,14638,0,137,0,368,596,45933,23582,187,14,19883,19822,22649,4,0,0,8,3,1724,1578,1797,1578,73,73
10977916,10977916,0,301216,0,0,301216,0,490,15086,14638,0,137,0,368,596,46001,23680,187,14,19883,19822,22649,4,0,0,8,3,1739,1593,1812,1593,73,73
10991529,10991529,0,301299,0,0,301299,0,490,15086,14638,0,137,0,368,596,46069,23763,187,14,19883,19822,22649,4,0,0,8,3,1754,1608,1827,1608,73,73
11003661,11003661,0,301367,0,0,301367,0,490,15086,14638,0,137,0,368,596,46137,23846,187,14,19883,19822,22649,4,0,0,8,3,1754,1608,1827,1608,73,73
