ifInOctets,ifOutOctets,ifOutDiscards,ifInUcastPkts,ifInNUcastPkts,ifInDiscards,ifOutUcastPkts,ifOutNUcastPkts,tcpOutRsts,tcpInSegs,tcpOutSegs,tcpPassiveOpens,tcpRetransSegs,tcpCurrEstab,tcpEstabResets,tcpActiveOpens,udpInDatagrams,udpOutDatagrams,udpInErrors,udpNoPorts,ipSystemStatsInReceives,ipSystemStatsInDelivers,ipSystemStatsOutRequests,ipSystemStatsOutDiscards,ipSystemStatsInDiscards,ipSystemStatsInForwDatagrams,ipSystemStatsOutNoRoutes,ipSystemStatsInAddrErrors,icmpInMsgs,icmpInDestUnreachs,icmpOutMsgs,icmpOutDestUnreachs,icmpInEchos,icmpOutEchoReps
32749898,32749898,0,181134,0,0,181134,0,1968,146220,131002,2,792,12,799,2824,793540,5032109,7272,26,578385,577897,5065740,5,0,0,16,3,0,0,2,2,0,0
32762030,32762030,0,181202,0,0,181202,0,1969,146246,131029,2,792,12,800,2826,793612,5032181,7272,26,578385,577897,5065740,5,0,0,16,3,0,0,2,2,0,0
32774162,32774162,0,181270,0,0,181270,0,1969,146251,131035,2,792,12,800,2827,793682,5032252,7272,26,578385,577897,5065740,5,0,0,16,3,0,0,2,2,0,0
32786294,32786294,0,181338,0,0,181338,0,1970,146270,131056,2,792,12,801,2828,793752,5032322,7272,26,578385,577897,5065740,5,0,0,16,3,0,0,2,2,0,0
32798426,32798426,0,181406,0,0,181406,0,1970,146271,131057,2,792,12,801,2828,793820,5032390,7272,26,578385,577897,5065740,5,0,0,16,3,0,0,2,2,0,0
32810558,32810558,0,181474,0,0,181474,0,1971,146290,131079,2,792,11,802,2829,793890,5032460,7272,26,578385,577897,5065740,5,0,0,16,3,0,0,2,2,0,0
32822690,32822690,0,181542,0,0,181542,0,1971,146293,131082,2,792,11,802,2829,793958,5032528,7272,26,579240,578750,5066598,5,0,0,16,3,0,0,2,2,0,0
32834822,32834822,0,181610,0,0,181610,0,1972,146314,131103,2,792,11,803,2830,794028,5032598,7272,26,579240,578750,5066598,5,0,0,16,3,0,0,2,2,0,0
32846954,32846954,0,181678,0,0,181678,0,1972,146319,131112,2,792,10,803,2830,794198,5032698,7272,26,579240,578750,5066598,5,0,0,16,3,0,0,2,2,0,0
32859086,32859086,0,181746,0,0,181746,0,1972,146326,131121,2,792,10,803,2830,794266,5032766,7272,26,579240,578750,5066598,5,0,0,16,3,0,0,2,2,0,0
32871218,32871218,0,181814,0,0,181814,0,1973,146343,131140,2,792,10,804,2831,794336,5032836,7272,26,579240,578750,5066598,5,0,0,16,3,0,0,2,2,0,0
32883350,32883350,0,181882,0,0,181882,0,1973,146345,131142,2,792,10,804,2831,794404,5032904,7272,26,579240,578750,5066598,5,0,0,16,3,0,0,2,2,0,0
32895482,32895482,0,181950,0,0,181950,0,1974,146550,131314,2,792,15,805,2837,794993,5033074,7272,26,579240,578750,5066598,5,0,0,16,3,0,0,2,2,0,0
32907614,32907614,0,182018,0,0,182018,0,1974,146568,131326,2,792,15,805,2837,795341,5033184,7272,26,579240,578750,5066598,5,0,0,16,3,0,0,2,2,0,0
32919746,32919746,0,182086,0,0,182086,0,1975,146594,131352,2,792,15,806,2838,795670,5033261,7272,26,579240,578750,5066598,5,0,0,16,3,0,0,2,2,0,0
32931878,32931878,0,182154,0,0,182154,0,1975,146595,131353,2,792,15,806,2838,796201,5033349,7272,26,579240,578750,5066598,5,0,0,16,3,0,0,2,2,0,0
32944010,32944010,0,182222,0,0,182222,0,1976,146622,131381,2,793,15,807,2839,796644,5033433,7272,26,579240,578750,5066598,5,0,0,16,3,0,0,2,2,0,0
32956142,32956142,0,182290,0,0,182290,0,1976,146637,131395,2,793,16,807,2840,796726,5033514,7272,26,579240,578750,5066598,5,0,0,16,3,0,0,2,2,0,0
32968274,32968274,0,182358,0,0,182358,0,1977,146663,131423,2,793,16,808,2841,797310,5033596,7272,26,580091,579601,5067454,5,0,0,16,3,0,0,2,2,0,0
32980406,32980406,0,182426,0,0,182426,0,1977,146671,131431,2,793,15,808,2841,797746,5033669,7272,26,580091,579601,5067454,5,0,0,16,3,0,0,2,2,0,0
32992538,32992538,0,182494,0,0,182494,0,1982,146709,131475,2,793,11,809,2842,797816,5033739,7272,26,580091,579601,5067454,5,0,0,16,3,0,0,2,2,0,0
33004670,33004670,0,182562,0,0,182562,0,1982,146710,131476,2,793,11,809,2842,797884,5033807,7272,26,580091,579601,5067454,5,0,0,16,3,0,0,2,2,0,0
33016802,33016802,0,182630,0,0,182630,0,1983,146731,131497,2,793,11,810,2843,798891,5033903,7272,26,580091,579601,5067454,5,0,0,16,3,0,0,2,2,0,0
33028934,33028934,0,182698,0,0,182698,0,1983,146748,131512,2,793,12,810,2844,798960,5033972,7272,26,580091,579601,5067454,5,0,0,16,3,0,0,2,2,0,0
33041066,33041066,0,182766,0,0,182766,0,1985,146773,131537,2,793,12,811,2845,799030,5034042,7272,26,580091,579601,5067454,5,0,0,16,3,0,0,2,2,0,0
33053198,33053198,0,182834,0,0,182834,0,1985,146777,131542,2,793,12,811,2845,800050,5034125,7373,26,580091,579601,5067454,5,0,0,16,3,0,0,2,2,0,0
33065330,33065330,0,182902,0,0,182902,0,1985,146787,131553,2,793,13,811,2846,800120,5034195,7373,26,580091,579601,5067454,5,0,0,16,3,0,0,2,2,0,0
33077462,33077462,0,182970,0,0,182970,0,1986,146807,131572,2,793,12,812,2846,800188,5034263,7373,26,580091,579601,5067454,5,0,0,16,3,0,0,2,2,0,0
33089594,33089594,0,183038,0,0,183038,0,1986,146814,131579,2,793,12,812,2846,800618,5034334,7373,26,580091,579601,5067454,5,0,0,16,3,0,0,2,2,0,0
33101726,33101726,0,183106,0,0,183106,0,1987,146831,131598,2,793,12,813,2847,800688,5034404,7373,26,580091,579601,5067454,5,0,0,16,3,0,0,2,2,0,0
33113858,33113858,0,183174,0,0,183174,0,1987,146836,131603,2,793,12,813,2847,800797,5034474,7373,26,580957,580463,5068320,5,0,0,16,3,0,0,2,2,0,0
33125990,33125990,0,183242,0,0,183242,0,1988,146852,131621,2,793,12,814,2848,800867,5034544,7373,26,580957,580463,5068320,5,0,0,16,3,0,0,2,2,0,0
33138122,33138122,0,183310,0,0,183310,0,1988,146857,131626,2,793,12,814,2848,800935,5034612,7373,26,580957,580463,5068320,5,0,0,16,3,0,0,2,2,0,0
33150254,33150254,0,183378,0,0,183378,0,1989,146878,131650,2,793,12,815,2849,801005,5034682,7373,26,580957,580463,5068320,5,0,0,16,3,0,0,2,2,0,0
33162386,33162386,0,183446,0,0,183446,0,1989,146882,131654,2,793,12,815,2849,801073,5034750,7373,26,580957,580463,5068320,5,0,0,16,3,0,0,2,2,0,0
33174518,33174518,0,183514,0,0,183514,0,1990,146913,131693,2,793,8,816,2850,801143,5034820,7373,26,580957,580463,5068320,5,0,0,16,3,0,0,2,2,0,0
33186650,33186650,0,183582,0,0,183582,0,1990,146922,131698,2,793,8,816,2850,801211,5034888,7373,26,580957,580463,5068320,5,0,0,16,3,0,0,2,2,0,0
33198782,33198782,0,183650,0,0,183650,0,1991,146944,131721,2,793,8,817,2851,801281,5034958,7373,26,580957,580463,5068320,5,0,0,16,3,0,0,2,2,0,0
